状态,代码,名称,数据日期,当前PE分位,当前PB分位,PE达标阈值,PE实际胜率,PB达标阈值,PB实际胜率,接近度,差距描述
达标,950580,上证580,2026-07-23,0.7%,16.4%,5,100.0%,5,100.0%,100.00%,
达标,932456,科创创业AI,2026-07-23,5.8%,87.6%,10,100.0%,5,100.0%,100.00%,
达标,399804,中证体育,2026-07-23,10.4%,15.2%,30,85.7%,5,66.7%,85.71%,
达标,930901,动漫游戏,2026-07-23,5.4%,47.2%,20,85.7%,5,100.0%,85.71%,
达标,931646,SHS新消费人民币,2026-07-23,7.2%,1.8%,,,5,80.0%,80.00%,
达标,930738,四川国改,2026-07-23,47.4%,8.4%,,,10,73.3%,73.33%,
达标,930720,CS互医疗,2026-07-23,30.4%,1.2%,25,91.7%,5,71.4%,71.43%,
达标,399275,创医药,2026-07-23,96.4%,5.4%,5,70.8%,10,70.6%,70.59%,
达标,HSCGSI,恒生消费指数,2026-07-23,2.2%,9.8%,5,66.7%,,,66.67%,
未达标,000989,全指可选,2026-07-23,20.8%,16.4%,5,100.0%,15,100.0%,90.67%,PE需从20.8%降至<5%（差15.8pp，达标概率100%）; PB需从16.4%降至<15%（差1.4pp，达标概率100%）
未达标,H11052,智能电车,2026-07-23,54.2%,65.2%,,,50,83.3%,69.60%,PB需从65.2%降至<50%（差15.2pp，达标概率83%）
未达标,H30015,800汽车,2026-07-23,48.8%,23.4%,35,70.0%,,,60.57%,PE需从48.8%降至<35%（差13.8pp，达标概率70%）
未达标,931028,港股通非银人民币,2026-07-23,7.0%,70.9%,5,100.0%,,,59.80%,PE需从7.0%降至<5%（差2.0pp，达标概率100%）
未达标,930651,CS计算机,2026-07-23,23.6%,67.4%,15,66.7%,5,66.7%,42.67%,PE需从23.6%降至<15%（差8.6pp，达标概率67%）; PB需从67.4%降至<5%（差62.4pp，达标概率67%）
未达标,HSHCI,恒生医疗保健,2026-07-23,24.2%,53.2%,15,100.0%,,,38.67%,PE需从24.2%降至<15%（差9.2pp，达标概率100%）
未达标,399699,金融科技,2026-07-23,8.8%,19.6%,5,100.0%,,,24.00%,PE需从8.8%降至<5%（差3.8pp，达标概率100%）
未达标,931403,品牌工程,2026-07-23,68.8%,55.4%,15,100.0%,30,85.7%,15.33%,PE需从68.8%降至<15%（差53.8pp，达标概率100%）; PB需从55.4%降至<30%（差25.4pp，达标概率86%）
未达标,931008,汽车指数,2026-07-23,46.2%,29.2%,25,100.0%,,,15.20%,PE需从46.2%降至<25%（差21.2pp，达标概率100%）
未达标,399417,新能源车,2026-07-23,39.0%,48.8%,,,25,71.4%,4.80%,PB需从48.8%降至<25%（差23.8pp，达标概率71%）
未达标,930850,智能制造,2026-07-23,97.6%,98.8%,50,87.5%,10,75.0%,4.80%,PE需从97.6%降至<50%（差47.6pp，达标概率88%）; PB需从98.8%降至<10%（差88.8pp，达标概率75%）
未达标,980027,新能源电池,2026-07-23,75.6%,78.4%,,,40,66.7%,4.00%,PB需从78.4%降至<40%（差38.4pp，达标概率67%）
未达标,H30535,互联网,2026-07-23,88.6%,98.8%,45,100.0%,30,100.0%,3.11%,PE需从88.6%降至<45%（差43.6pp，达标概率100%）; PB需从98.8%降至<30%（差68.8pp，达标概率100%）
未达标,000699,科创200,2026-07-23,1.7%,52.2%,,,5,100.0%,0.00%,PB需从52.2%降至<5%（差47.2pp，达标概率100%）
未达标,931144,通信技术,2026-07-23,94.4%,97.2%,5,100.0%,5,100.0%,0.00%,PE需从94.4%降至<5%（差89.4pp，达标概率100%）; PB需从97.2%降至<5%（差92.2pp，达标概率100%）
未达标,931009,建筑材料,2026-07-23,97.0%,1.4%,,,,,0.00%,历史数据中无任何条件能达到65%胜率
未达标,932138,电子行业,2026-07-23,82.6%,93.6%,5,91.7%,,,0.00%,PE需从82.6%降至<5%（差77.6pp，达标概率92%）
未达标,950333,智选创新价值,2026-07-23,92.7%,94.8%,,,,,0.00%,历史数据中无任何条件能达到65%胜率
未达标,931238,SSH黄金股票,2026-07-23,28.2%,86.4%,,,,,0.00%,历史数据中无任何条件能达到65%胜率
未达标,950162,科创芯片设计,2026-07-23,22.2%,92.5%,5,76.9%,5,100.0%,0.00%,PE需从22.2%降至<5%（差17.2pp，达标概率77%）; PB需从92.5%降至<5%（差87.5pp，达标概率100%）
未达标,930986,金融科技,2026-07-23,28.0%,28.4%,5,100.0%,,,0.00%,PE需从28.0%降至<5%（差23.0pp，达标概率100%）
