"index_code","index_name","跟踪基金代码","跟踪基金名称","持有3个月正收益概率","持有3个月平均收益率","持有6个月正收益概率","持有6个月平均收益率","持有1年正收益概率","持有1年平均收益率","持有3年正收益概率","持有3年平均收益率"
"H11057","石化产业","020105","易方达石油化工ETF联接C","100.0","28.6178","100.0","27.0487","7.94","-9.4239","0.0","-33.4386"
"399804","中证体育","013278","富国中证体育产业指数(LOF)C","100.0","26.9289","100.0","30.0268","100.0","52.3474","84.21","4.591"
"000811","细分有色","016708","华夏有色金属ETF联接C","95.24","26.0396","89.66","13.0182","0.0","-11.0863","0.0","-30.0493"
"930651","CS计算机","001630","天弘中证计算机ETF联接C","77.63","17.6052","65.33","21.8262","100.0","43.0851","64.29","3.1901"
"000819","有色金属","004433","南方有色金属ETF联接C","76.64","15.7175","100.0","25.9338","100.0","65.0444","75.79","11.6334"
"399624","中创400","005727","嘉实中创400ETF联接C","93.81","15.5386","97.22","18.1007","97.85","29.3717","96.36","16.1385"
"H30318","科技传媒通信150","004371","景顺长城中证科技传媒通信150ETF联接C","72.08","14.5482","93.1","32.4366","100.0","71.4227","0.0","-19.8705"
"399673","创业板50","160424","华安创业板50ETF联接C","88.08","13.5008","87.32","21.2431","39.13","11.6033","0.0","-22.7733"
"000069","消费80","004407","招商上证消费80ETF联接C","90.11","13.4823","100.0","15.1109","100.0","22.355","100.0","102.2568"
"931008","汽车指数","004855","广发中证全指汽车指数C","56.47","12.3486","58.33","11.9888","100.0","38.7104","100.0","39.8648"
"930713","CS人工智","012734","易方达中证人工智能主题ETF联接C","63.84","11.1759","81.97","29.6348","100.0","60.1289","100.0","102.9039"
"399395","国证有色","015596","国泰国证有色金属行业指数(LOF)C","65.63","10.8916","100.0","27.1809","100.0","57.5877","81.97","12.1489"
"000993","全指信息","002974","广发信息技术联接C","63.14","9.2329","83.09","15.3999","75.81","19.3615","24.11","-8.0813"
"H30535","互联网","018533","南方中证互联网指数(LOF)C","61.35","9.1721","60.48","17.6","87.05","37.2417","100.0","88.3258"
"399440","国证钢铁","012810","鹏华国证钢铁行业指数(LOF)C","74.04","9.0739","87.85","10.9426","67.27","17.6407","86.84","8.7005"
"930721","CS智汽车","010956","天弘中证智能汽车指数发起式C","65.97","8.8943","85.76","18.126","97.74","27.3355","100.0","14.1273"
"399971","中证传媒","004753","广发中证传媒ETF联接C","62.43","8.8379","60.5","6.5611","75.95","7.6033","100.0","50.2093"
"399012","创业300","011317","天弘创业板300ETF发起式联接C","81.9","8.6075","72.11","11.5042","29.27","-0.7354","0.0","-38.2049"
"399976","CS新能车","011513","天弘中证新能源车C","52.48","7.5663","71.5","17.2665","76.88","23.1098","25.58","-3.9095"
"000827","中证环保","002984","广发中证环保ETF联接C","51.47","7.1943","65.72","11.0748","74.75","30.2442","34.88","-9.1362"
"H30184","半导体","007301","国联安中证半导体ETF联接C","50.61","6.1968","74.17","19.7994","46.51","3.6984","0.0","-49.9312"
"399959","军工指数","015046","前海开源中航军工指数C","54.56","5.9456","53.82","6.8061","61.28","5.524","56.23","10.1021"
"399610","TMT50","004409","招商深证TMT50ETF联接C","64.53","5.6703","75.72","10.688","74.05","5.839","1.61","-21.6729"
"000964","中证新兴","","","59.31","5.6516","79.93","9.955","62.63","8.0834","13.75","-26.1618"
"399437","证券龙头","015860","宝盈国证证券龙头指数发起C","76.06","5.2171","51.74","1.4328","38.65","-1.1949","100.0","26.3608"
